"S.no","Name of the College","Situated in ","Course fee","Placement ","Global Ranking ","Course ","Placement rate"
"#1","BITS Pilani (Pilani Campus) Pilani","PilaniRajasthan","₹ 6Lac","₹ 3Lac","2438","B.Tech Plastic and Polymer Engineering","#4"
"#5","Indian Institute of Space Science and Technology - [IIST], Thiruvananthapuram","Thiruvananthapuram, Kerala","₹ 1,44,900","₹ 10,00,000","27924","B.Tech Electrical and Electronics Engineering","#8"
"#9","SSN College of Engineering - [SSNCE], Chennai","Chennai, Tamil Nadu","₹ 55,000","₹ 6,19,000","11040","BE Civil Engineering","#12"
"#13","Sathyabama Institute of Science and Technology, Chennai","Chennai, Tamil Nadu","₹ 1,95,000","₹ 5,00,000","","","#16"
"#17","Kalasalingam Academy of Research and Education, Krishnankovil","Krishnankovil, Tamil Nadu","₹ 1,22,000","₹ 4,50,000","647","BE Electronics & Telecom Engineering","#20"
"#21","BMS College of Engineering - [BMSCE], Bangalore","Bangalore, Karnataka","₹ 4,17,060","₹ 4,50,000","22448","B.Tech VLSI Design","#24"
"#25","Jaypee Institute of Information Technology University - [JIIT], Noida","Noida, Uttar Pradesh","₹ 3,34,600","₹ 13,00,000","7758","BE Computer Science and Engineering","#28"
"#29","Sri Venkateswara University College of Engineering, Tirupati","Tirupati, Andhra Pradesh","₹ 1,20,000","","255","B.Tech VLSI Design",""
"#5","Indian Institute of Space Science and Technology - [IIST], Thiruvananthapuram","Thiruvananthapuram, Kerala","₹ 1,44,900","₹ 10,00,000","27924","B.Tech Electrical and Electronics Engineering","#8"
"#9","SSN College of Engineering - [SSNCE], Chennai","Chennai, Tamil Nadu","₹ 55,000","₹ 6,19,000","11040","BE Civil Engineering","#12"
"#13","Sathyabama Institute of Science and Technology, Chennai","Chennai, Tamil Nadu","₹ 1,95,000","₹ 5,00,000","","","#16"
"#17","Kalasalingam Academy of Research and Education, Krishnankovil","Krishnankovil, Tamil Nadu","₹ 1,22,000","₹ 4,50,000","647","BE Electronics & Telecom Engineering","#20"
"#21","BMS College of Engineering - [BMSCE], Bangalore","Bangalore, Karnataka","₹ 4,17,060","₹ 4,50,000","22448","B.Tech VLSI Design","#24"
"#29","Sri Venkateswara University College of Engineering, Tirupati","Tirupati, Andhra Pradesh","₹ 1,20,000","₹ 19,00,000","255","B.Tech VLSI Design","#32"
"#33","C. V. Raman Global University, Bhubaneswar","Bhubaneswar, Odisha","₹ 2,25,000","₹ 9,50,000","14703","B.Tech Artificial Intelligence and Data Science","#36"
"#37","B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU], Chennai","Chennai, Tamil Nadu","₹ 85,000","₹ 4,00,000","25085","BE Biomedical Engineering","#40"
"#41","Jain University - [JU], Bangalore","Bangalore, Karnataka","₹ 2,95,000","₹ 6,20,000","4569","BE Artificial Intelligence and Data Science","#44"
"#45","JNTUK University College of Engineering, Kakinada, East Godavari","East Godavari, Andhra Pradesh","₹ 10,000","₹ 9,45,000","11138","B.Tech Mechanical Engineering","#48"
"#49","Mukesh Patel School of Technology Management and Engineering - [MPSTME], Mumbai","Mumbai, Maharashtra","₹ 3,50,000","₹ 10,55,000","1927","B.Tech Computer Engineering","#52"
"#53","Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET], Hyderabad","Hyderabad, Telangana","₹ 1,38,000","₹ 51,00,000","","","#56"
"#57","University Institute of Engineering, Chandigarh University - [UIE], Chandigarh","Chandigarh, Chandigarh","₹ 2,09,500","₹ 35,00,000","97184","B.Tech Information Technology","#60"
"#61","Saveetha Engineering College - [SEC], Chennai","Chennai, Tamil Nadu","₹ 2,00,000","₹ 5,36,000","43720","B.Tech Artificial Intelligence and Machine Learning","#64"
"#65","Yeshwantrao Chavan College of Engineering - [YCCE], Nagpur","Nagpur, Maharashtra","₹ 1,60,000","₹ 6,00,000","11347","B.Tech Chemical Engineering","#68"
